ID	name	rank1	rank2	metric1	metric2
c84347_g1	c84347_g1	306	11991	0.41104378	-0.094170639
c93997_g2	c93997_g2	307	804	0.410906134	0.2823929
c88207_g2	c88207_g2	308	15774	0.410853892	-0.501056615
c90555_g7	c90555_g7	309	15107	0.409681844	-0.289609985
c83149_g2	c83149_g2	310	920	0.40944097	0.262554715
c57781_g1	c57781_g1	311	16176	0.40852745	-1.470845035
c90714_g3	c90714_g3	312	16087	0.408056955	-0.957119709
c90932_g10	c90932_g10	313	1006	0.406106173	0.249199075
c97609_g1	c97609_g1	314	16028	0.404025429	-0.771697274
c86388_g4	c86388_g4	315	15408	0.403653887	-0.351503368
c87839_g3	c87839_g3	316	10116	0.402196332	-0.045581388
c86591_g2	c86591_g2	317	15105	0.401347339	-0.289282669
c94510_g3	c94510_g3	318	808	0.401243964	0.2814664
c90874_g1	c90874_g1	319	9042	0.401018913	-0.021968001
c82173_g1	c82173_g1	320	8134	0.400023595	-0.002648382
c94418_g4	c94418_g4	321	7138	0.399859398	0.016890048
c78647_g3	c78647_g3	322	12994	0.396563787	-0.128444428
c96896_g1	c96896_g1	323	14047	0.396115299	-0.184482038
c86672_g6	c86672_g6	324	12609	0.3952123	-0.113891039
c89184_g2	c89184_g2	325	1358	0.394352696	0.207771395
c87163_g11	c87163_g11	326	684	0.393113369	0.310190047
c91018_g2	c91018_g2	327	425	0.392930676	0.393481992
c90862_g12	c90862_g12	328	186	0.392847751	0.610584949
c82988_g2	c82988_g2	329	3476	0.391550626	0.100850206
c94792_g1	c94792_g1	330	15112	0.390689406	-0.290039628
c88212_g11	c88212_g11	331	5653	0.390217596	0.046769055
c95145_g2	c95145_g2	332	11862	0.389155415	-0.09035305
c96430_g1	c96430_g1	333	7628	0.388883587	0.007723115
c93362_g10	c93362_g10	334	6709	0.387631034	0.025063585
c87381_g6	c87381_g6	335	2083	0.386754991	0.154668654
c96636_g4	c96636_g4	336	15095	0.386389554	-0.286735319
c72997_g1	c72997_g1	337	832	0.385603833	0.276021621
c95561_g6	c95561_g6	338	6722	0.385316285	0.024618527
c95368_g2	c95368_g2	339	9514	0.385181455	-0.032086149
c95148_g3	c95148_g3	340	300	0.384331641	0.467847243
c91523_g7	c91523_g7	341	15401	0.383113757	-0.349891545
c82808_g5	c82808_g5	342	1510	0.378697076	0.192950419
c96876_g2	c96876_g2	343	2975	0.37842483	0.117849598
c64850_g1	c64850_g1	344	10430	0.377182567	-0.052494434
c85040_g8	c85040_g8	345	15875	0.376359461	-0.579891356
c97110_g3	c97110_g3	346	48	0.375965161	1.137625106
c90461_g2	c90461_g2	347	11543	0.374542634	-0.080972342
c94456_g3	c94456_g3	348	15833	0.373491644	-0.53768316
c88906_g4	c88906_g4	349	16027	0.373217626	-0.771313677
c95466_g1	c95466_g1	350	1924	0.373168926	0.164475891
c85186_g3	c85186_g3	351	14186	0.372614762	-0.195403004
c96391_g1	c96391_g1	352	10324	0.371788202	-0.050201964
c65581_g1	c65581_g1	353	14836	0.371268413	-0.253829565
c97131_g3	c97131_g3	354	6313	0.370335583	0.0334072
c93555_g2	c93555_g2	355	16144	0.369215095	-1.248056111
c96163_g1	c96163_g1	356	13848	0.368948383	-0.170894489
c85443_g5	c85443_g5	357	345	0.368837653	0.4382966
c97071_g3	c97071_g3	358	1145	0.368257684	0.23079358
c97091_g3	c97091_g3	359	13103	0.368106847	-0.132335513
c79371_g1	c79371_g1	360	99	0.367923605	0.80870465
c91323_g2	c91323_g2	361	11315	0.367431133	-0.074101898
c88326_g1	c88326_g1	362	16289	0.366108555	-2.963121531
c93611_g2	c93611_g2	363	2723	0.36601041	0.126477395
c96647_g1	c96647_g1	364	11342	0.364299363	-0.074873788
c90661_g2	c90661_g2	365	12672	0.363813839	-0.116053383
c93112_g5	c93112_g5	366	4749	0.363282128	0.065898839
c88713_g3	c88713_g3	367	8129	0.362196154	-0.002611127
c93765_g1	c93765_g1	368	5313	0.361867636	0.05379711
c94518_g7	c94518_g7	369	9151	0.361635441	-0.024453541
c81249_g1	c81249_g1	370	1053	0.361550893	0.243245151
c96648_g9	c96648_g9	371	8954	0.361517365	-0.01984695
c86845_g1	c86845_g1	372	9192	0.360956511	-0.025438516
c92298_g2	c92298_g2	373	824	0.360792049	0.277513212
c92507_g5	c92507_g5	374	29	0.360757474	1.394390383
c85443_g7	c85443_g7	375	772	0.360508177	0.289366443
c83539_g1	c83539_g1	376	16133	0.359955446	-1.199985217
c87163_g13	c87163_g13	377	682	0.359829165	0.310516562
c82926_g1	c82926_g1	378	642	0.358615498	0.31870967
c86017_g2	c86017_g2	379	204	0.358354753	0.588057534
c84522_g2	c84522_g2	380	3279	0.358113326	0.107265586
c87315_g13	c87315_g13	381	15549	0.358022433	-0.392019237
c93253_g1	c93253_g1	382	228	0.357983431	0.555222794
c93062_g4	c93062_g4	383	2525	0.357695961	0.134863425
c93773_g6	c93773_g6	384	12169	0.357200875	-0.099393066
c86328_g4	c86328_g4	385	706	0.356847468	0.306778648
c71325_g1	c71325_g1	386	11664	0.356354187	-0.083914203
c65581_g2	c65581_g2	387	8445	0.355828462	-0.008965635
c88428_g5	c88428_g5	388	13138	0.354386105	-0.134112706
c89842_g1	c89842_g1	389	12650	0.354328024	-0.115329013
c92877_g2	c92877_g2	390	124	0.353900972	0.718500815
c85815_g4	c85815_g4	391	2958	0.352776737	0.118214922
c90009_g2	c90009_g2	392	28	0.352757022	1.483545265
c82346_g1	c82346_g1	393	14515	0.352575826	-0.223044368
c96124_g2	c96124_g2	394	2201	0.352397068	0.147960913
c75154_g1	c75154_g1	395	16164	0.352229315	-1.405063701
c91964_g1	c91964_g1	396	9549	0.352031981	-0.032886633
c93362_g6	c93362_g6	397	12625	0.351436698	-0.114657483
c87302_g2	c87302_g2	398	2863	0.351203018	0.121234957
c79699_g1	c79699_g1	399	16246	0.349914626	-2.224854615
c90087_g3	c90087_g3	400	16129	0.34960335	-1.145964143
c90012_g3	c90012_g3	401	12116	0.349191862	-0.097675774
c89372_g11	c89372_g11	402	1845	0.349168157	0.169140939
c85654_g5	c85654_g5	403	8892	0.348815303	-0.018432031
c97246_g1	c97246_g1	404	2553	0.348587975	0.133517602
c95891_g3	c95891_g3	405	2267	0.348043471	0.145701675
c90406_g1	c90406_g1	406	1282	0.347537539	0.214640732
c82468_g1	c82468_g1	407	1464	0.34711422	0.197591142
c97065_g3	c97065_g3	408	2214	0.346638336	0.147447733
c82897_g2	c82897_g2	409	10131	0.34659878	-0.046050898
c75791_g2	c75791_g2	410	787	0.345517545	0.285485409
c94870_g1	c94870_g1	411	1000	0.3454179	0.249802377
c92856_g1	c92856_g1	412	15488	0.345324821	-0.374304134
c84467_g1	c84467_g1	413	8844	0.344898297	-0.017580017
c83613_g2	c83613_g2	414	15918	0.34347293	-0.619757223
c94761_g5	c94761_g5	415	484	0.34305222	0.367974399
c92259_g8	c92259_g8	416	14996	0.342850535	-0.27171253
c93817_g5	c93817_g5	417	1140	0.342229618	0.230986228
c87735_g4	c87735_g4	418	12214	0.342199151	-0.10060384
c91527_g8	c91527_g8	419	14868	0.341811031	-0.256450484
c92422_g11	c92422_g11	420	16305	0.34163845	-3.585738066
c95968_g7	c95968_g7	421	865	0.34149838	0.269815143
c91530_g1	c91530_g1	422	15744	0.340971913	-0.483194843
c86424_g4	c86424_g4	423	486	0.340886688	0.367527166
c90374_g1	c90374_g1	424	10361	0.340720483	-0.05100777
c88898_g4	c88898_g4	425	3945	0.34037031	0.08667205
c91108_g7	c91108_g7	426	6935	0.339655317	0.020429602
c96707_g1	c96707_g1	427	15731	0.338850557	-0.47559463
c81907_g2	c81907_g2	428	2719	0.338054817	0.126558334
c87757_g1	c87757_g1	429	498	0.337508087	0.363366268
c88692_g7	c88692_g7	430	38	0.336682	1.295661078
c97463_g3	c97463_g3	431	360	0.335815336	0.431383206
c92459_g10	c92459_g10	432	2758	0.334974617	0.125379582
c90332_g7	c90332_g7	433	277	0.334885233	0.48434975
c92806_g5	c92806_g5	434	257	0.334598148	0.501500086
c87733_g4	c87733_g4	435	240	0.334439546	0.535021304
c87737_g4	c87737_g4	436	14552	0.334392563	-0.226333308
c92144_g5	c92144_g5	437	214	0.3340162	0.567365331
c81980_g2	c81980_g2	438	77	0.333758115	0.919096692
c88713_g1	c88713_g1	439	10617	0.333692573	-0.057168331
c94301_g5	c94301_g5	440	12510	0.333442402	-0.110808038
c95938_g5	c95938_g5	441	14418	0.332505179	-0.212955251
c87149_g7	c87149_g7	442	9399	0.331893495	-0.02939802
c90061_g2	c90061_g2	443	384	0.331366592	0.411159222
c85455_g1	c85455_g1	444	4918	0.330314809	0.062283466
c91527_g5	c91527_g5	445	15991	0.330276596	-0.71329785
